match_id,group,team_a_id,team_b_id,venue_id,date,kickoff_local
1,A,MEX,RSA,MTY,2026-06-17,12:00
2,A,KOR,CZE,TOR,2026-06-11,13:00
3,B,CAN,BIH,VAN,2026-06-27,21:00
4,D,USA,PAR,MIA,2026-06-26,18:00
5,D,AUS,TUR,ATL,2026-06-26,18:00
6,B,QAT,SUI,SFO,2026-06-27,21:00
7,C,BRA,MAR,ATL,2026-06-25,18:00
8,C,HAI,SCO,SEA,2026-06-12,18:00
9,E,GER,CUW,BOS,2026-06-12,15:00
10,F,NED,JPN,KC,2026-06-22,20:00
11,E,CIV,ECU,KC,2026-06-11,13:00
12,F,SWE,TUN,MTY,2026-06-22,20:00
13,H,ESP,CPV,PHI,2026-06-27,21:00
14,G,BEL,EGY,KC,2026-06-18,18:00
15,H,KSA,URU,NYC,2026-06-12,15:00
16,G,IRN,NZL,VAN,2026-06-18,18:00
17,I,FRA,SEN,VAN,2026-06-26,19:00
18,I,IRQ,NOR,DAL,2026-06-26,19:00
19,J,ARG,ALG,SFO,2026-06-17,12:00
20,J,AUT,JOR,SEA,2026-06-17,12:00
21,K,POR,COD,MIA,2026-06-13,18:00
22,L,ENG,CRO,ATL,2026-06-22,12:00
23,L,GHA,PAN,KC,2026-06-21,18:00
24,K,UZB,COL,NYC,2026-06-13,18:00
25,A,CZE,RSA,VAN,2026-06-17,20:00
26,B,SUI,BIH,MEX,2026-06-27,19:00
27,A,MEX,KOR,GDL,2026-06-17,20:00
28,B,CAN,QAT,TOR,2026-06-27,17:00
29,D,USA,AUS,PHI,2026-06-16,15:00
30,C,SCO,MAR,LAX,2026-06-12,15:00
31,C,BRA,HAI,DAL,2026-06-12,15:00
32,D,TUR,PAR,MEX,2026-06-16,15:00
33,F,NED,SWE,SFO,2026-06-15,12:00
34,E,GER,CIV,MTY,2026-06-20,19:00
35,E,ECU,CUW,MIA,2026-06-20,19:00
36,F,TUN,JPN,BOS,2026-06-14,15:00
37,H,ESP,KSA,TOR,2026-06-24,12:00
38,G,BEL,IRN,GDL,2026-06-18,19:00
39,H,URU,CPV,MIA,2026-06-19,21:00
40,G,NZL,EGY,SEA,2026-06-18,19:00
41,J,ARG,AUT,NYC,2026-06-17,15:00
42,I,FRA,IRQ,DAL,2026-06-11,13:00
43,I,NOR,SEN,SEA,2026-06-13,18:00
44,J,JOR,ALG,SFO,2026-06-21,18:00
45,K,POR,UZB,HOU,2026-06-27,19:00
46,L,ENG,GHA,BOS,2026-06-25,16:00
47,L,PAN,CRO,PHI,2026-06-25,16:00
48,K,COL,COD,LAX,2026-06-20,12:00
49,B,BIH,QAT,NYC,2026-06-19,21:00
50,C,SCO,BRA,HOU,2026-06-21,12:00
51,C,MAR,HAI,SEA,2026-06-20,19:00
52,B,SUI,CAN,VAN,2026-06-11,13:00
53,A,CZE,MEX,GDL,2026-06-22,20:00
54,A,RSA,KOR,TOR,2026-06-26,19:00
55,E,ECU,GER,DAL,2026-06-20,16:00
56,E,CUW,CIV,BOS,2026-06-20,16:00
57,F,JPN,SWE,NYC,2026-06-27,17:00
58,F,TUN,NED,LAX,2026-06-27,17:00
59,D,TUR,USA,ATL,2026-06-11,13:00
60,D,PAR,AUS,HOU,2026-06-12,15:00
61,I,NOR,FRA,PHI,2026-06-26,18:00
62,I,SEN,IRQ,SFO,2026-06-26,20:00
63,H,CPV,KSA,LAX,2026-06-24,19:00
64,H,URU,ESP,ATL,2026-06-24,19:00
65,G,EGY,IRN,BOS,2026-06-23,16:00
66,G,NZL,BEL,TOR,2026-06-23,19:00
67,L,PAN,ENG,MEX,2026-06-11,19:00
68,L,CRO,GHA,HOU,2026-06-11,13:00
69,K,COL,POR,MTY,2026-06-13,21:00
70,K,COD,UZB,LAX,2026-06-13,21:00
71,J,ALG,AUT,DAL,2026-06-13,18:00
72,J,JOR,ARG,HOU,2026-06-17,20:00
