country,team_id,primetime_start_local,primetime_end_local,utc_offset_june,audience_weight
Mexico,MEX,19:00,23:00,-6,130000000
South Korea,KOR,19:00,23:00,9,52000000
South Africa,RSA,19:00,23:00,2,62000000
Canada,CAN,19:00,23:00,-4,38000000
Switzerland,SUI,19:00,23:00,2,8800000
Qatar,QAT,19:00,23:00,3,2900000
Brazil,BRA,19:00,23:00,-3,216000000
Morocco,MAR,19:00,23:00,1,37000000
Scotland,SCO,19:00,23:00,1,5500000
Haiti,HAI,19:00,23:00,-4,11700000
United States,USA,19:00,23:00,-4,335000000
Australia,AUS,19:00,23:00,10,26000000
Paraguay,PAR,19:00,23:00,-4,7400000
Germany,GER,19:00,23:00,2,84000000
Ecuador,ECU,19:00,23:00,-5,18000000
Côte d'Ivoire,CIV,19:00,23:00,0,27000000
Curaçao,CUW,19:00,23:00,-4,155000
Netherlands,NED,19:00,23:00,2,17900000
Japan,JPN,19:00,23:00,9,124000000
Tunisia,TUN,19:00,23:00,1,12000000
Belgium,BEL,19:00,23:00,2,11600000
IR Iran,IRN,19:00,23:00,4,88000000
Egypt,EGY,19:00,23:00,3,106000000
New Zealand,NZL,19:00,23:00,12,5100000
Spain,ESP,19:00,23:00,2,47000000
Uruguay,URU,19:00,23:00,-3,3500000
Saudi Arabia,KSA,19:00,23:00,3,36000000
Cape Verde,CPV,19:00,23:00,-1,590000
France,FRA,19:00,23:00,2,68000000
Senegal,SEN,19:00,23:00,0,17000000
Norway,NOR,19:00,23:00,2,5400000
Argentina,ARG,19:00,23:00,-3,46000000
Austria,AUT,19:00,23:00,2,9100000
Algeria,ALG,19:00,23:00,1,45000000
Jordan,JOR,19:00,23:00,3,10400000
Portugal,POR,19:00,23:00,1,10300000
Colombia,COL,19:00,23:00,-5,52000000
Uzbekistan,UZB,19:00,23:00,5,36000000
England,ENG,19:00,23:00,1,57000000
Croatia,CRO,19:00,23:00,2,3900000
Panama,PAN,19:00,23:00,-5,4400000
Ghana,GHA,19:00,23:00,0,33000000
Bosnia & Herzegovina,BIH,19:00,23:00,2,3200000
Sweden,SWE,19:00,23:00,2,10600000
Türkiye,TUR,19:00,23:00,3,85000000
Czechia,CZE,19:00,23:00,2,10900000
DR Congo,COD,19:00,23:00,1,105000000
Iraq,IRQ,19:00,23:00,3,43000000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
