match_id,group,round,team_a_id,team_b_id,venue_id,date,kickoff_local
1,A,1,MEX,RSA,MEX,2026-06-11,13:00
2,A,1,KOR,CZE,GDL,2026-06-11,19:00
3,B,1,CAN,BIH,TOR,2026-06-12,15:00
4,D,1,USA,PAR,LAX,2026-06-12,18:00
5,D,1,AUS,TUR,VAN,2026-06-12,21:00
6,B,1,QAT,SUI,SFO,2026-06-13,12:00
7,C,1,BRA,MAR,NYC,2026-06-13,18:00
8,C,1,HAI,SCO,BOS,2026-06-13,21:00
9,E,1,GER,CUW,HOU,2026-06-14,12:00
10,F,1,NED,JPN,DAL,2026-06-14,15:00
11,E,1,CIV,ECU,PHI,2026-06-14,19:00
12,F,1,SWE,TUN,MTY,2026-06-14,19:00
13,H,1,ESP,CPV,ATL,2026-06-15,12:00
14,G,1,BEL,EGY,SEA,2026-06-15,12:00
15,H,1,KSA,URU,MIA,2026-06-15,18:00
16,G,1,IRN,NZL,LAX,2026-06-15,18:00
17,I,1,FRA,SEN,NYC,2026-06-16,15:00
18,I,1,IRQ,NOR,BOS,2026-06-16,18:00
19,J,1,ARG,ALG,KC,2026-06-16,20:00
20,J,1,AUT,JOR,SFO,2026-06-16,21:00
21,K,1,POR,COD,HOU,2026-06-17,12:00
22,L,1,ENG,CRO,DAL,2026-06-17,15:00
23,L,1,GHA,PAN,TOR,2026-06-17,19:00
24,K,1,UZB,COL,MEX,2026-06-17,20:00
25,A,2,CZE,RSA,ATL,2026-06-18,12:00
26,B,2,SUI,BIH,LAX,2026-06-18,12:00
27,A,2,MEX,KOR,GDL,2026-06-18,19:00
28,B,2,CAN,QAT,VAN,2026-06-18,18:00
29,D,2,USA,AUS,SEA,2026-06-19,12:00
30,C,2,SCO,MAR,BOS,2026-06-19,18:00
31,C,2,BRA,HAI,PHI,2026-06-19,21:00
32,D,2,TUR,PAR,SFO,2026-06-19,18:00
33,F,2,NED,SWE,HOU,2026-06-20,12:00
34,E,2,GER,CIV,TOR,2026-06-20,16:00
35,E,2,ECU,CUW,KC,2026-06-20,19:00
36,F,2,TUN,JPN,MTY,2026-06-20,22:00
37,H,2,ESP,KSA,ATL,2026-06-21,12:00
38,G,2,BEL,IRN,LAX,2026-06-21,12:00
39,H,2,URU,CPV,MIA,2026-06-21,18:00
40,G,2,NZL,EGY,VAN,2026-06-21,18:00
41,J,2,ARG,AUT,DAL,2026-06-22,12:00
42,I,2,FRA,IRQ,PHI,2026-06-22,17:00
43,I,2,NOR,SEN,NYC,2026-06-22,20:00
44,J,2,JOR,ALG,SFO,2026-06-22,20:00
45,K,2,POR,UZB,HOU,2026-06-23,12:00
46,L,2,ENG,GHA,BOS,2026-06-23,16:00
47,L,2,PAN,CRO,TOR,2026-06-23,19:00
48,K,2,COL,COD,GDL,2026-06-23,20:00
49,B,3,BIH,QAT,SEA,2026-06-24,12:00
50,C,3,SCO,BRA,MIA,2026-06-24,18:00
51,C,3,MAR,HAI,ATL,2026-06-24,18:00
52,B,3,SUI,CAN,VAN,2026-06-24,18:00
53,A,3,CZE,MEX,MEX,2026-06-24,19:00
54,A,3,RSA,KOR,MTY,2026-06-24,19:00
55,E,3,ECU,GER,NYC,2026-06-25,16:00
56,E,3,CUW,CIV,PHI,2026-06-25,16:00
57,F,3,JPN,SWE,DAL,2026-06-25,18:00
58,F,3,TUN,NED,KC,2026-06-25,18:00
59,D,3,TUR,USA,LAX,2026-06-25,19:00
60,D,3,PAR,AUS,SFO,2026-06-25,19:00
61,I,3,NOR,FRA,BOS,2026-06-26,15:00
62,I,3,SEN,IRQ,TOR,2026-06-26,15:00
63,H,3,CPV,KSA,HOU,2026-06-26,19:00
64,H,3,URU,ESP,GDL,2026-06-26,18:00
65,G,3,EGY,IRN,SEA,2026-06-26,20:00
66,G,3,NZL,BEL,VAN,2026-06-26,20:00
67,L,3,PAN,ENG,NYC,2026-06-27,17:00
68,L,3,CRO,GHA,PHI,2026-06-27,17:00
69,K,3,COL,POR,MIA,2026-06-27,19:00
70,K,3,COD,UZB,ATL,2026-06-27,19:00
71,J,3,ALG,AUT,KC,2026-06-27,21:00
72,J,3,JOR,ARG,DAL,2026-06-27,21:00
